week,time,Hillary Clinton,Martin O'Malley,Bernie Sanders
1,9:00 PM ET,1,3,2
2,9:08 PM ET,1,3,2
3,9:16 PM ET,1,3,2
4,9:24 PM ET,1,3,2
5,9:32 PM ET,1,3,2
6,9:40 PM ET,1,3,2
7,9:48 PM ET,1,3,2
8,9:56 PM ET,1,3,2
9,10:04 PM ET,1,3,2
10,10:12 PM ET,1,3,2
11,10:20 PM ET,1,3,2
12,10:28 PM ET,1,3,2
13,10:36 PM ET,1,3,2
14,10:44 PM ET,1,3,2
15,10:52 PM ET,1,3,2
16,11:00 PM ET,1,3,2
17,11:08 PM ET,1,3,2
18,11:16 PM ET,1,3,2
19,11:24 PM ET,1,3,2
20,11:32 PM ET,1,3,2
21,11:40 PM ET,1,3,2
22,11:48 PM ET,2,3,1
23,11:56 PM ET,2,3,1
