week,time,Panthers,Cowboys,Broncos,Packers,Colts,Vikings,Patriots,Saints,Giants,Jets,Raiders,Steelers,Chargers,49ers,Seahawks,Redskins
1,Week 1,16,1,2,4,14,8,7,11,6,10,9,12,15,3,5,13
2,Week 2,15,1,13,2,10,14,3,12,5,7,11,6,16,9,4,8
3,Week 3,13,1,6,2,14,12,4,11,10,9,8,3,15,7,5,16
4,Week 4,15,1,4,3,8,14,6,5,9,13,10,11,16,7,2,12
5,Week 5,13,1,7,4,16,15,2,8,6,14,11,3,10,9,5,12
6,Week 6,10,7,8,3,5,15,1,16,9,11,14,6,12,4,2,13
7,Week 7,3,2,8,4,13,15,1,12,6,9,7,5,14,16,10,11
8,Week 8,5,3,2,1,9,14,6,10,12,13,8,7,16,11,4,15
9,Week 9,3,6,4,1,13,8,2,9,12,14,7,5,16,10,15,11
