,ISIS,Climate Change,Immigration,Economy,Same-Sex Marriage,Health Care,Taxes,Education,Abortion,Gun Control
eight_minute,"(country:""United States"" property:google time_range:2015-09-17T00:00:00_2015-09-17T01:43:01 entity:""/m/027x630"")","(country:""United States"" property:google time_range:2015-09-17T00:00:00_2015-09-17T01:43:01 entity:""/m/0cs9q"")","(country:""United States"" property:google time_range:2015-09-17T00:00:00_2015-09-17T01:43:01 entity:""/m/0cbx95"")","(country:""United States"" property:google time_range:2015-09-17T00:00:00_2015-09-17T01:43:01 entity:""/m/0gfps3"")","(country:""United States"" property:google time_range:2015-09-17T00:00:00_2015-09-17T01:43:01 entity:""/m/0n02l"")","(country:""United States"" property:google time_range:2015-09-17T00:00:00_2015-09-17T01:43:01 entity:""/m/01mw2x"")","(country:""United States"" property:google time_range:2015-09-17T00:00:00_2015-09-17T01:43:01 entity:""/m/07g82"")","(country:""United States"" property:google time_range:2015-09-17T00:00:00_2015-09-17T01:43:01 entity:""/m/02jfc"")","(country:""United States"" property:google time_range:2015-09-17T00:00:00_2015-09-17T01:43:01 entity:""/m/0g54wr7"")","(country:""United States"" property:google time_range:2015-09-17T00:00:00_2015-09-17T01:43:01 entity:""/m/0gff137"")"
9/17/2015 0:00:00,1987.763136,307.052842,2521.065441,1583.746239,799.953457,2278.655302,6132.976506,8452.033498,1397.898466,193.928111
9/17/2015 0:08:00,1888.834807,403.597181,2421.583086,1953.410356,904.057685,2284.360044,5690.720251,7983.152239,1275.367092,363.237463
9/17/2015 0:16:00,2200.138129,363.932623,2712.952279,1943.731054,843.661989,2448.274008,5781.565986,8643.399792,1447.459295,173.695115
9/17/2015 0:24:00,2319.368868,378.336766,2557.885525,2187.773472,1085.662024,2327.593581,6678.466387,9014.28468,1825.886131,238.516657
9/17/2015 0:32:00,3241.701245,443.169284,2921.63454,2002.468617,1272.059982,2527.706287,5736.580178,9199.866064,1608.540365,221.584642
9/17/2015 0:40:00,3455.515807,334.404756,2794.668314,1648.137724,1743.68194,2563.769793,6321.842284,9036.890418,2396.567415,214.974486
9/17/2015 0:48:00,3293.562421,356.060802,2727.102053,1917.872958,2913.224746,2573.348525,5794.080327,8852.96631,3196.454929,315.599347
9/17/2015 0:56:00,2163.237935,344.515671,2932.3892,1666.494409,2155.225942,2595.885521,5480.202768,8308.436067,11505.22102,336.503679
9/17/2015 1:04:00,2056.124285,395.408516,3424.237751,1890.052708,1281.123593,2459.440971,5567.35191,9197.202089,7750.00692,221.428769
9/17/2015 1:12:00,1838.248517,527.4974,4659.560371,1870.218056,1166.888189,2477.639305,5738.532326,8431.966023,3404.755949,255.756315
9/17/2015 1:20:00,2107.587155,318.126363,6338.667782,1694.022883,1169.114384,2218.931382,5233.178671,8955.257118,2934.715698,262.454249
9/17/2015 1:28:00,1525.064434,240.799647,3708.314571,1187.944928,1027.411829,1701.650842,4936.392773,7970.468331,2560.502918,232.772993
9/17/2015 1:36:00,1601.59244,152.532613,2097.323434,800.79622,610.130454,1487.19298,3965.847948,6863.967602,2326.122354,76.266307
