week,time,Lindsey Graham,Bobby Jindal,George Pataki,Rick Santorum
1,5:52 PM ET,1,3,4,2
2,6:00 PM ET,2,1,3,4
3,6:08 PM ET,1,2,3,4
4,6:16 PM ET,2,1,3,4
5,6:24 PM ET,1,3,2,4
6,6:32 PM ET,1,3,2,4
7,6:40 PM ET,1,2,3,4
8,6:48 PM ET,1,2,4,3
9,6:56 PM ET,1,2,3,4
10,7:04 PM ET,1,2,4,3
11,7:12 PM ET,1,2,4,3
