week,time,Mike Huckabee,Rick Santorum,Lindsey Graham,George Pataki
1,6:20 PM ET,4,3,1,2
2,6:28 PM ET,4,2,3,1
3,6:36 PM ET,4,2,3,1
4,6:44 PM ET,4,2,1,3
5,6:52 PM ET,4,2,1,3
6,7:00 PM ET,4,2,1,3
7,7:08 PM ET,2,3,1,4
8,7:16 PM ET,3,2,1,4
9,7:24 PM ET,4,2,1,3
10,7:32 PM ET,4,2,1,3
11,7:40 PM ET,4,2,1,3
12,7:48 PM ET,3,4,1,2
