week,time,Hillary Clinton,Martin O'Malley,Bernie Sanders
1,7:56 PM ET,2,3,1
2,8:04 PM ET,2,3,1
3,8:12 PM ET,2,3,1
4,8:20 PM ET,2,3,1
5,8:28 PM ET,2,3,1
6,8:36 PM ET,2,3,1
7,8:44 PM ET,2,3,1
8,8:52 PM ET,2,3,1
9,9:00 PM ET,2,3,1
10,9:08 PM ET,2,3,1
11,9:16 PM ET,2,3,1
12,9:24 PM ET,2,3,1
13,9:32 PM ET,2,3,1
14,9:40 PM ET,2,3,1
15,9:48 PM ET,2,3,1
16,9:56 PM ET,2,3,1
17,10:04 PM ET,2,3,1
18,10:12 PM ET,2,3,1
19,10:20 PM ET,2,3,1
20,10:28 PM ET,2,3,1
21,10:36 PM ET,2,3,1
22,10:44 PM ET,2,3,1
23,10:52 PM ET,2,3,1
